,event_id,event_name,start_datetime,end_datetime,event_agency,event_type,event_borough,event_location,event_street_side,street_closure_type,community_board,police_precinct
4452,420497,Bilingual Yoga,2018-08-29T18:00:00+00:00,2018-08-29T19:00:00+00:00,Parks Department,Special Event,Manhattan,Sherman Creek: Riley - Levin Children's Garden,,,12,34
4453,420497,Bilingual Yoga,2018-09-05T18:00:00+00:00,2018-09-05T19:00:00+00:00,Parks Department,Special Event,Manhattan,Sherman Creek: Riley - Levin Children's Garden,,,12,34
4454,420512,Family Day,2018-08-17T09:00:00+00:00,2018-08-17T17:00:00+00:00,Street Activity Permit Office,Block Party,Brooklyn,KOSCIUSZKO STREET between SPENCER COURT and NOSTRAND AVENUE,Both,Sidewalk and Street Closure,3,79
4455,420568,BROOKLYN BEACH SPORTS FESTIVAL,2018-08-11T08:00:00+00:00,2018-08-11T17:00:00+00:00,Parks Department,Special Event,Brooklyn,Coney Island Beach & Boardwalk: W 10 St Performance Area,,,13,60
4456,420585,Park Place Family Day,2018-08-11T15:00:00+00:00,2018-08-11T17:30:00+00:00,Street Activity Permit Office,Block Party,Brooklyn,PARK PLACE between RALPH AVENUE and BUFFALO AVENUE,Full,Full Street Closure,8,77
4457,420586,"Exercise - Workout, Fitness",2018-08-12T08:00:00+00:00,2018-08-12T09:00:00+00:00,Parks Department,Special Event,Bronx,Pelham Bay Park: Track-01,,,28,45
4458,420586,"Exercise - Workout, Fitness",2018-08-19T08:00:00+00:00,2018-08-19T09:00:00+00:00,Parks Department,Special Event,Bronx,Pelham Bay Park: Track-01,,,28,45
4459,420586,"Exercise - Workout, Fitness",2018-08-26T08:00:00+00:00,2018-08-26T09:00:00+00:00,Parks Department,Special Event,Bronx,Pelham Bay Park: Track-01,,,28,45
4460,420586,"Exercise - Workout, Fitness",2018-09-02T08:00:00+00:00,2018-09-02T09:00:00+00:00,Parks Department,Special Event,Bronx,Pelham Bay Park: Track-01,,,28,45
4461,420586,"Exercise - Workout, Fitness",2018-09-09T08:00:00+00:00,2018-09-09T09:00:00+00:00,Parks Department,Special Event,Bronx,Pelham Bay Park: Track-01,,,28,45
4462,420598,We Aim Higher,2018-08-18T13:00:00+00:00,2018-08-18T16:00:00+00:00,Parks Department,Special Event,Bronx,Playground 174: Playground 174,,,9,43
